id z dz m dm
18721 0.4012700021 0.0 22.30585 0.1602
18749 0.1893099993 3.300000026e-05 20.4864 0.13035
18804 0.1972600073 0.0005000000237 20.4352 0.1122
18809 0.131553039 3.700000161e-05 19.5616 0.132
18835 0.1226198971 3.500000093e-05 19.44025 0.1033
18855 0.1271549016 1.400000019e-05 19.59325 0.10365
18927 0.2132299989 0.0005000000237 20.67635 0.1429
18940 0.2109899968 4.500000068e-05 20.727 0.12695
18945 0.2685599923 1.899999916e-05 21.4883 0.15275
18965 0.2045300007 0.0005000000237 20.66435 0.12435
19002 0.2700999975 4.999999874e-05 21.2859 0.12695
19023 0.2418500036 0.004999999888 20.98075 0.15175
19027 0.2911399901 1.499999962e-05 21.236 0.14645
19067 0.3534600139 0.0 21.81675 0.1515
19128 0.2854300141 0.0 21.60225 0.15435
19230 0.2195499986 0.0005000000237 20.6719 0.1534
19282 0.1755799949 0.0001999999949 20.24765 0.1249
19341 0.2354200035 4.999999874e-05 20.9929 0.1458
19353 0.1533004194 2.800000038e-05 19.99965 0.1096
19425 0.2100500017 6.500000018e-05 20.90475 0.1584
19596 0.2913500071 0.0 21.51945 0.1501
19632 0.3137600124 7.200000255e-05 21.8225 0.14945
19775 0.1368699968 0.0005000000237 19.7402 0.1138
19794 0.2956700027 4.700000136e-05 21.7708 0.1925
19818 0.3039399981 1.999999949e-05 21.49625 0.135
19913 0.2055699974 0.0005000000237 20.73155 0.1351
19953 0.1218969598 2.300000051e-05 19.34125 0.09805
19969 0.1742800027 7.000000096e-06 20.2369 0.11045
19990 0.2488300055 7.300000289e-05 21.2028 0.13995
20039 0.2455800027 2.099999983e-05 21.1159 0.14105
20084 0.1383175254 9.999999747e-06 19.8495 0.1169
20088 0.2431499958 3.700000161e-05 21.02795 0.1175
20111 0.2426699996 6.199999916e-05 21.18455 0.15195
20142 0.3146800101 0.0 21.3618 0.137
20227 0.2757300138 0.0 21.4485 0.153
20245 0.3004100025 2.800000038e-05 21.4204 0.15885
20364 0.2172800004 0.0008999999845 20.89395 0.15665
20581 0.2033499926 2.099999983e-05 20.5734 0.12555
